"treatment","site","moist","tstage","step","temp","hour","litter_met","litter_str"
1,"bare_fallow",0.018,1,"preinc_start",278,0,0,0
1,"bare_fallow",0.018,1,"inc_end",278,888,0,0
1,"bare_fallow",0.018,2,"preinc_start",293,889,0,0
1,"bare_fallow",0.018,3,"inc_end",293,1656,0,0
1,"bare_fallow",0.018,4,"preinc_start",308,1657,0,0
1,"bare_fallow",0.018,4,"inc_end",308,1766,0,0
1,"bare_fallow",0.018,5,"preinc_start",278,1767,0,0
1,"bare_fallow",0.018,5,"inc_end",278,3621,0,0
1,"bare_fallow",0.018,6,"preinc_start",308,3622,0,0
1,"bare_fallow",0.018,6,"inc_end",308,4393,0,0
2,"bare_fallow",0.054,1,"preinc_start",278,0,0,0
2,"bare_fallow",0.054,1,"inc_end",278,840,0,0
2,"bare_fallow",0.054,2,"preinc_start",293,841,0,0
2,"bare_fallow",0.054,3,"inc_end",293,1556,0,0
2,"bare_fallow",0.054,4,"preinc_start",308,1557,0,0
2,"bare_fallow",0.054,4,"inc_end",308,1672,0,0
2,"bare_fallow",0.054,5,"preinc_start",278,1673,0,0
2,"bare_fallow",0.054,5,"inc_end",278,3480,0,0
2,"bare_fallow",0.054,6,"preinc_start",293,3481,0,0
2,"bare_fallow",0.054,6,"inc_end",293,4369,0,0
3,"bare_fallow",0.09,1,"preinc_start",278,0,0,0
3,"bare_fallow",0.09,1,"inc_end",278,1224,0,0
3,"bare_fallow",0.09,2,"preinc_start",293,1225,0,0
3,"bare_fallow",0.09,3,"inc_end",293,1940,0,0
3,"bare_fallow",0.09,4,"preinc_start",308,1941,0,0
3,"bare_fallow",0.09,4,"inc_end",308,2056,0,0
3,"bare_fallow",0.09,5,"preinc_start",278,2057,0,0
3,"bare_fallow",0.09,5,"inc_end",278,3864,0,0
3,"bare_fallow",0.09,6,"preinc_start",293,3865,0,0
3,"bare_fallow",0.09,6,"inc_end",293,4753,0,0
4,"bare_fallow",0.126,1,"preinc_start",278,0,0,0
4,"bare_fallow",0.126,1,"inc_end",278,1087,0,0
4,"bare_fallow",0.126,2,"preinc_start",293,1088,0,0
4,"bare_fallow",0.126,3,"inc_end",293,1803,0,0
4,"bare_fallow",0.126,4,"preinc_start",308,1804,0,0
4,"bare_fallow",0.126,4,"inc_end",308,1919,0,0
4,"bare_fallow",0.126,5,"preinc_start",278,1920,0,0
4,"bare_fallow",0.126,5,"inc_end",278,3818,0,0
4,"bare_fallow",0.126,6,"preinc_start",308,3819,0,0
4,"bare_fallow",0.126,6,"inc_end",308,4080,0,0
4,"bare_fallow",0.126,7,"preinc_start",293,4081,0,0
4,"bare_fallow",0.126,7,"inc_end",293,4635,0,0
5,"bare_fallow",0.162,1,"preinc_start",278,0,0,0
5,"bare_fallow",0.162,1,"inc_end",278,1087,0,0
5,"bare_fallow",0.162,2,"preinc_start",293,1088,0,0
5,"bare_fallow",0.162,3,"inc_end",293,1802,0,0
5,"bare_fallow",0.162,4,"preinc_start",308,1803,0,0
5,"bare_fallow",0.162,4,"inc_end",308,1919,0,0
5,"bare_fallow",0.162,5,"preinc_start",278,1920,0,0
5,"bare_fallow",0.162,5,"inc_end",278,3818,0,0
5,"bare_fallow",0.162,6,"preinc_start",308,3819,0,0
5,"bare_fallow",0.162,7,"inc_end",308,4080,0,0
5,"bare_fallow",0.162,8,"preinc_start",293,4081,0,0
5,"bare_fallow",0.162,8,"inc_end",293,4634,0,0
6,"bare_fallow",0.198,1,"preinc_start",278,0,0,0
6,"bare_fallow",0.198,1,"inc_end",278,1087,0,0
6,"bare_fallow",0.198,2,"preinc_start",293,1088,0,0
6,"bare_fallow",0.198,3,"inc_end",293,1801,0,0
6,"bare_fallow",0.198,4,"preinc_start",308,1802,0,0
6,"bare_fallow",0.198,4,"inc_end",308,1848,0,0
6,"bare_fallow",0.198,5,"preinc_start",278,1849,0,0
6,"bare_fallow",0.198,5,"inc_end",278,3817,0,0
6,"bare_fallow",0.198,6,"preinc_start",308,3818,0,0
6,"bare_fallow",0.198,7,"inc_end",308,4078,0,0
6,"bare_fallow",0.198,8,"preinc_start",293,4079,0,0
6,"bare_fallow",0.198,8,"inc_end",293,4633,0,0
7,"bare_fallow",0.216,1,"preinc_start",278,0,0,0
