par,fitted,rounded,unit
D_0,1.855505045,1.86,h-1
E_e,10,10,kJ
E_K,69.53123624,70,kJ
E_m,10,10,kJ
E_r,75.26370797,75,kJ
E_V,88.86986687,89,kJ
f_CD_bf,7.14E-05,7.10E-05,kg kg-1
f_CD_mz,9.25E-05,0.000093,kg kg-1
f_CE_bf,0.000447451,0.00045,kg kg-1
f_CE_mz,0.000536323,0.00054,kg kg-1
f_CM_bf,0.065725869,0.066,kg kg-1
f_CM_mz,0.05145371,0.051,kg kg-1
f_gr,0.585690607,0.59,kg kg-1
f_mp,1,1,kg kg-1
f_ue,0.02467574,0.025,kg kg-1
K_D_ref,67.98016311,68,kgC m-3
p1,2.699495942,2.7,
p2,1,1,
pd,2700,2700,kgC m-3
psi_fc,33,33,kPa
psi_Rth,15000,15000,kPa
R,0.008314,0.008314,kJ mol-1 K-1
r_ed_ref,0.000198263,0.0002,h-1
r_md_ref,0.002080795,0.0021,h-1
r_mr_ref,4.54E-05,4.50E-05,h-1
T_ref,293.15,293.15,K
V_D_mz,0.291609007,0.29,h-1
V_U_ref,0.092405641,0.092,h-1
